,maxdegree_1,maxdegree_2,maxdegree_3,maxdegree_4,sector_1,sector_2,sector_3,sector_4,sector_5,regio_1,regio_2,regio_3,regio_4,n_founders,founding_age,n_investors,n_fund_rounds,avrg_inv_per_round,n_leadinvestors,leadinv_rate,years_till_firstfund,total_funding,%_first_funding_of_total,female_founders,founders_experience,has_valuation,has_moneyraised_data,alpha_bench,alpha_bench_binary,Cluster
Five9,1,0,0,0,0,0,1,0,0,0,1,0,0,4,0.0,0.15,0.5454545454545454,0.106875,0.3157894736842105,0.8571428571428571,0.10344827586206896,0.0047112549365168925,0.043821209270739264,0,0.1111111111111111,1,1,-0.256,0,1
"111, Inc.",0,1,0,0,0,1,0,0,0,0,0,1,0,2,0.5384615384615385,0.05,0.1818181818181818,0.083125,0.15789473684210525,1.0,0.10344827586206896,0.01125744974356727,0.04255319129446159,0,0.2222222222222222,1,1,-0.422,0,1
Sunesis Pharmaceuticals,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0.5192307692307692,0.2,0.36363636363636365,0.25,0.10526315789473684,0.4,0.0,0.004674084114268656,0.0706713779026965,0,0.3333333333333333,0,1,-0.032,0,1
Quotient Technology,1,0,0,0,0,1,0,0,0,0,1,0,0,2,0.2884615384615385,0.075,0.4545454545454545,0.041874999999999996,0.21052631578947367,0.6666666666666666,0.3103448275862069,0.011739018520152706,0.06951382444809782,0,0.2222222222222222,1,1,-0.492,0,1
Global Data Solutions,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0.23076923076923078,0.03333333333333333,0.09090909090909091,0.09375,0.0,0.0,0.24137931034482757,0.0030963892143991024,0.39999999987786267,0,0.1111111111111111,0,1,-0.248,0,0
Casper,0,1,0,0,0,1,0,0,0,0,1,0,0,6,0.17307692307692307,0.49999999999999994,0.2727272727272727,0.890625,0.21052631578947367,1.0,0.034482758620689655,0.014028741129343103,0.043273482035017005,0,0.2222222222222222,1,1,-0.383,0,1
Precision BioSciences,0,0,0,1,1,0,0,0,0,0,1,0,0,3,0.17307692307692307,0.26666666666666666,0.2727272727272727,0.453125,0.10526315789473684,0.5,0.0,0.007232675753656452,5.505829577562679e-09,0,0.1111111111111111,1,1,-0.503,0,1
AdEPT Telecom,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0.44230769230769235,0.0,0.0,0.0,0.05263157894736842,1.0,0.48275862068965514,0.00038678338635700463,1.0000000000000002,0,0.1111111111111111,0,0,-0.187,0,0
Bloom Energy,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0.38461538461538464,0.2583333333333333,0.9090909090909091,0.11937500000000001,0.21052631578947367,0.36363636363636365,0.034482758620689655,0.034100985143390314,0.005692139786231124,0,0.1111111111111111,1,1,-0.383,0,1
Taronis Technologies,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0.9807692307692308,0.008333333333333333,0.09090909090909091,0.0,0.0,0.0,0.06896551724137931,0.00013226394558397002,0.026307644493838718,0,0.2222222222222222,0,0,-0.525,0,1
Dynavax Technologies,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0.5576923076923077,0.025,0.0,0.1875,0.05263157894736842,1.0,0.20689655172413793,0.0014360924873112466,1.0000000000000002,0,0.6666666666666666,0,1,-0.394,0,0
Addex Therapeutics,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0.36538461538461536,0.15833333333333333,0.2727272727272727,0.25,0.21052631578947367,1.0,0.5172413793103449,0.003388505496344251,0.12067348370533106,0,0.2222222222222222,0,0,-0.395,0,1
AgeX Therapeutics,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0.8269230769230771,0.075,0.09090909090909091,0.25,0.0,0.0,0.0,0.002633240769186087,0.15677421360566893,0,0.2222222222222222,0,0,-0.499,0,1
GreenSky,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0.23076923076923078,0.058333333333333334,0.2727272727272727,0.0625,0.15789473684210525,0.75,0.27586206896551724,0.025192377995294696,0.5737704917165144,0,0.4444444444444444,1,1,-0.616,0,1
Omeros,0,1,0,0,1,0,0,0,0,0,1,0,0,2,0.25000000000000006,0.06666666666666667,0.0,0.5,0.05263157894736842,1.0,0.4482758620689655,0.0029724864735716505,1.0000000000000002,1,0.2222222222222222,1,1,-0.319,0,0
Devsisters,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0.19230769230769235,0.03333333333333333,0.1818181818181818,0.041874999999999996,0.0,0.0,0.034482758620689655,0.00018968278853457335,0.19475224900816848,0,0.1111111111111111,0,0,-0.421,0,1
"CHF Solutions, Inc.",1,0,0,0,1,0,0,0,0,0,1,0,0,1,0.25000000000000006,0.058333333333333334,0.36363636363636365,0.037500000000000006,0.0,0.0,0.3793103448275862,0.001662520616082054,0.322721585467756,0,0.1111111111111111,0,0,-0.531,0,1
Aridis Pharmaceuticals,0,0,0,1,1,0,0,0,0,0,1,0,0,2,0.5192307692307692,0.04166666666666667,0.2727272727272727,0.03125,0.0,0.0,0.3793103448275862,0.0017379587585339346,0.2434161914968412,0,0.1111111111111111,1,1,-0.312,0,1
Cocrystal Pharma,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0.17307692307692307,0.0,0.0,0.0,0.0,0.0,0.41379310344827586,0.0002055057467510295,1.0000000000000002,0,0.0,0,0,-0.172,0,0
DarioHealth,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0.3461538461538462,0.04166666666666667,0.36363636363636365,0.012499999999999997,0.0,0.0,0.0,0.0014235844643238017,0.023335261506437745,1,0.3333333333333333,1,1,-0.068,0,1
Sequana Medical,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0.2115384615384615,0.2,0.36363636363636365,0.25,0.10526315789473684,0.4,0.034482758620689655,0.0029188702470379553,1.3940346131795922e-08,0,0.3333333333333333,1,1,-0.025,0,1
EcoSynthetix,0,0,0,1,0,0,0,0,1,0,1,0,0,2,0.0,0.08333333333333333,0.1818181818181818,0.166875,0.10526315789473684,0.6666666666666666,0.41379310344827586,0.0010704079617778718,0.3353137527505612,0,0.3333333333333333,0,1,-0.493,0,1
Cortexyme,0,0,0,1,1,0,0,0,0,0,1,0,0,3,0.44230769230769235,0.16666666666666666,0.2727272727272727,0.265625,0.10526315789473684,0.5,0.06896551724137931,0.004128912095928782,0.010000009698473188,1,0.1111111111111111,1,1,-0.153,0,1
Upland Software,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0.4615384615384616,0.008333333333333333,0.09090909090909091,0.0,0.10526315789473684,1.0,0.0,0.0012946905493875975,0.36811223745196575,0,0.1111111111111111,0,0,-0.339,0,1
Evotec,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0.0,0.025,0.1818181818181818,0.020625000000000004,0.05263157894736842,0.3333333333333333,0.3793103448275862,0.0026338190232775287,1.5470418607979788e-08,0,0.1111111111111111,0,0,-0.114,0,1
Evelo Biosciences,0,0,0,1,1,0,0,0,0,0,1,0,0,2,0.4615384615384616,0.058333333333333334,0.1818181818181818,0.104375,0.15789473684210525,1.0,0.0,0.005471191994730746,0.2641509312848837,0,1.0,1,1,-0.396,0,1
Nutanix,1,0,0,0,0,0,1,0,0,0,1,0,0,3,0.2692307692307692,0.21666666666666667,0.4545454545454545,0.21875,0.21052631578947367,0.6666666666666666,0.0,0.016259240128260008,2.336403727385424e-09,0,0.2222222222222222,1,1,-0.534,0,1
Netyear,1,0,0,0,0,1,0,0,0,0,0,1,0,3,0.0,0.03333333333333333,0.1818181818181818,0.041874999999999996,0.0,0.0,0.41379310344827586,0.00015441705352838708,0.7428533281067508,0,0.0,0,0,-0.056,0,0
Montage Technology,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0.38461538461538464,0.058333333333333334,0.2727272727272727,0.0625,0.0,0.0,0.20689655172413793,0.0009045497704623914,0.5668034396380629,0,0.3333333333333333,0,0,-0.032,0,0
NeuralStem,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0.36538461538461536,0.025,0.1818181818181818,0.020625000000000004,0.05263157894736842,0.3333333333333333,0.48275862068965514,0.0010048283474044955,0.06158141043381937,0,0.3333333333333333,0,0,-0.143,0,1
GENIEE INTERNATIONAL,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0.1538461538461539,0.075,0.4545454545454545,0.041874999999999996,0.05263157894736842,0.16666666666666666,0.034482758620689655,0.0008315303334142036,0.03471875187268072,0,0.1111111111111111,0,0,-0.138,0,1
MediWound,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0.7307692307692308,0.0,0.0,0.0,0.05263157894736842,1.0,0.41379310344827586,0.0007422371386775158,1.0000000000000002,0,0.1111111111111111,0,1,-0.645,0,0
Acorn International,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0.25000000000000006,0.008333333333333333,0.09090909090909091,0.0,0.05263157894736842,0.5,0.3103448275862069,0.0017747600202071953,0.9999999767441867,0,0.3333333333333333,0,1,-0.444,0,0
Ultragenyx Pharmaceutical,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0.5576923076923077,0.075,0.09090909090909091,0.25,0.05263157894736842,0.5,0.034482758620689655,0.005578574328813624,0.33308659005348695,0,0.2222222222222222,1,1,-0.066,0,1
Diffusion Pharmaceuticals,0,0,0,1,1,0,0,0,0,0,1,0,0,2,0.7115384615384617,0.06666666666666667,0.6363636363636364,0.008124999999999993,0.0,0.0,0.10344827586206896,0.001339384209146999,0.06469810443550067,0,0.2222222222222222,0,0,-0.338,0,1
Elevate Credit,1,0,0,0,0,0,0,1,0,0,1,0,0,2,0.05769230769230771,0.03333333333333333,0.2727272727272727,0.015625,0.0,0.0,0.3103448275862069,0.025398882645942276,1.4224539144460067e-09,0,0.0,1,1,-0.183,0,1
BONESUPPORT,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0.5769230769230769,0.18333333333333332,0.5454545454545454,0.143125,0.2631578947368421,0.7142857142857143,0.5172413793103449,0.007006477836178102,0.12651938628384124,0,0.6666666666666666,0,1,-0.371,0,1
Nano Dimension,1,0,0,0,0,0,0,0,1,0,0,0,1,4,0.2884615384615385,0.01666666666666667,0.0,0.125,0.0,0.0,0.10344827586206896,0.0005398626619926777,1.0000000000000002,0,0.3333333333333333,0,0,-0.104,0,0
Buddy Technologies,1,0,0,0,0,0,1,0,0,0,0,0,1,2,0.09615384615384615,0.06666666666666667,0.1818181818181818,0.125,0.05263157894736842,0.3333333333333333,0.034482758620689655,0.00019417405638500046,0.47145867400262587,0,0.0,1,1,-0.258,0,1
TeamLease Services,1,0,0,0,0,1,0,0,0,0,0,1,0,2,0.2115384615384615,0.11666666666666667,0.1818181818181818,0.25,0.10526315789473684,0.6666666666666666,0.3103448275862069,0.0030757387575945268,0.3020134226767082,1,0.1111111111111111,1,1,-0.131,0,1
